id,epic,priority,owner,name,story,acceptance_criteria,related_issues,subtasks,defects,status,allocated_to,scrum,source
I4,I,P1,GOV,I can see what AI assistance does to human judgement,"As a quality lead, I want to measure what AI assistance does to human judgement — how often people accept, modify or override AI suggestions, how long they take, and whether a wrong suggestion pulls them away from what they would have decided alone — because the client's question is what AI assistance actually does to human judgement, not whether it feels faster.","1. Acceptance, modification and override rates are reported per task.
2. Time per item is reported alongside them.
3. A task can run the blind-then-reveal protocol: the annotator records an independent judgement without seeing the AI suggestion; that judgement is kept; then the suggestion is revealed and they may keep or revise their answer. Both judgements survive.
4. The suggestion is absent from the API response until the independent judgement is recorded — not merely hidden on the screen.
5. From the protocol I can see how often a correct suggestion improved an answer and how often an incorrect one changed a correct answer (anchoring and automation bias), and compare the results with C4's human-only and AI-first modes.","No open defects — net-new; depends on **C4** and **F3**, since the measurement is impossible if suggestion and decision are collapsed into one value.
**Client answer, 2026-09-21** — blind-then-reveal is an evaluation protocol for human judgement, not a production mode: the independent judgement is recorded first, then the AI suggestion is revealed and the annotator may keep or revise. It lets the platform measure whether correct suggestions help and whether incorrect ones introduce anchoring or automation bias. Judging a suggestion correct needs a reference — the dataset's evaluation-only gold labels (client answer R1-1) or the adjudicated answer.","1. Report accept, modify and override rates per task.
2. Report time per item alongside them.
3. Add blind-then-reveal as a protocol a task can run on human annotation: store the pre-reveal judgement as its own record, then reveal the suggestion and store the final one.
4. Withhold the suggestion from the API until the pre-reveal judgement is recorded, and test it.
5. Report how often answers moved toward the suggestion, split by whether the suggestion was right against the reference — anchoring and automation bias.
6. Compare results across C4's modes and the protocol.
7. Impossible unless suggestion and decision stay separate — depends on F3.",,,,SCRUM-73,shipped
I5,I,P1,GOV,I can prove the platform's records hold up,"As a quality lead, I want automated checks that provenance is complete, permissions were enforced and a release matches its manifest, because integrity claimed is not integrity demonstrated.","1. Checks confirm every released item has complete provenance.
2. Checks confirm governed actions were performed by users holding the right role.
3. A release can be reconstructed from its manifest and compared against the original.
4. Findings — including what failed and why — are recorded, with negative results reported rather than dropped.",No open defects — net-new; exercises the gates from **H3** and the records from **F1**.,"1. Check that every released item has complete provenance.
2. Check that governed actions were performed by users holding the right role.
3. Reconstruct a release from its manifest and compare it against the original.
4. Record the findings, including what failed and why — negative results reported rather than dropped.",,,,"SCRUM-74, SCRUM-75",shipped
J1,J,P2,BE,My organisation has a stable identity,"As an organisation administrator, I want my organisation to have a unique identifier and address, because the client's one concrete requirement in this area is being able to refer to an organisation unambiguously.","1. Each organisation has a unique identifier and URL that don't change.
2. An organisation can hold multiple accounts and use cases.",No open defects — net-new.,"1. Give each organisation a unique identifier and URL that do not change.
2. Let one organisation hold multiple accounts and use cases.
3. Keep it small — this is the client's one concrete requirement in this area.",,,,SCRUM-88,shipped
J2,J,P2,FE,I can see how my project is going at a glance,"As a project manager, I want a simple overview of project status and progress, because I want a starting point — not an analytics product.","1. Shows project status, item counts by state and basic workflow statistics.
2. Figures agree with the task and export screens (see B6).
3. Deliberately limited in scope — the client asked that time not be spent making this comprehensive.",No open defects — net-new.,"1. Show project status and item counts by state.
2. Reconcile the figures with the task and export screens (see B6).
3. Keep it deliberately limited — the client asked that time not be spent making this comprehensive.",,,Tim Chung,SCRUM-89,shipped
J3,J,P2,BE/FE,I can invite and manage my team,"As an organisation administrator, I want to invite colleagues and manage their membership and roles, because I can't run governed review without the people who perform it.","1. I can invite a person, see pending invitations, and remove a member.
2. I can assign and change a member's role.
3. Role changes take effect on what that person can do (see G1).",**Issues 17 & 18** (invitations broken; pending list unreachable) — **G5** fixes the underlying flow; this story is the administrator-facing capability built on top of it and cannot be demonstrated until those are closed.,"1. Invite a person, list pending invitations, and remove a member.
2. Assign and change a member's role.
3. Make a role change take effect on what that person can actually do (see G1).
4. Cannot be demonstrated until G5 fixes the invitation flow (issue 17) and the pending-invitation listing (issue 18).","17,18",working,Tim Chung,SCRUM-90,shipped
J4,J,P2,BE/FE,I can maintain a project after creating it,"As a project manager, I want to rename a project, update its policy or team, and archive it when finished, because a project I can only create and never adjust doesn't survive contact with real work.","1. I can rename a project and update its description, policy, team and storage settings.
2. I can archive a completed project; archived projects are read-only but still viewable.
3. Changes are recorded in the project's history.","No open defects — net-new. Client's own list: rename, update, update policy, update team settings, update storage location, archive.","1. Rename a project and update its description, policy, team and storage settings.
2. Archive a completed project; archived projects stay viewable but read-only.
3. Record every change in the project's history.",,,,SCRUM-45,shipped
K1,K,P1,Lead,A reader can understand the system without us in the room,"As a client, I want a technical report covering the architecture, the evaluation results, the limitations and the known failure cases, because I have to maintain this platform after the team disperses.","1. Covers architecture, the evaluation results from Epic I, limitations, and failure cases we know about and did not fix.
2. States what was consciously deferred and why — including which defects were left unfixed, with justification.
3. Written progressively across the project, not assembled in the final week.","No open defects — but the deferred-defect record is what closes out issues.md honestly; any of the 29 not fixed by a story above needs an explicit, argued decision rather than silence.","1. Draft the architecture section as the workflow lands, not in the final week.
2. Fold in the evaluation results from Epic I as they arrive.
3. Record the limitations and the failure cases known and not fixed.
4. State which defects were left unfixed, with the argument for each.",,dropped,,,shipped
K2,K,P1,all,Each of us can defend our own design decisions,"As a team member, I want my significant design and technical decisions recorded with the alternatives I considered, because Arc has said explicitly that I will be asked to walk through my reasoning, and reconstructing it at the end is neither honest nor convincing.","1. Each member keeps a decision record covering their significant choices, the alternatives, and why they chose as they did.
2. Records are written when the decision is made, not retrospectively.
3. Where an AI tool was used, the member can still explain and defend the result independently of it.","No open defects — this is a stated project requirement, and the brief is blunt that an agent-authored rewrite “needs the same prior justification as a hand-written one.”","1. Every member keeps a decision record from week one, written when the decision is made.
2. Record the option chosen, the alternatives considered, and why.
3. Where an AI tool was used, be able to explain and defend the result independently of it.
4. Review the records at the weekly meeting so nobody is reconstructing them from memory.",,dropped,,,shipped
K3,K,P1,GOV,What didn't work is recorded as carefully as what did,"As a client, I want the findings documentation to include what we tried that failed and why, because negative findings tell me more about this platform's real limits than a list of features that worked.","1. Findings record what was tried, what worked, what failed, and why.
2. Negative results from the evaluation casebook are reported, not filtered out.
3. Results are traceable to specific cases in I2 so a reader can re-run them.",No open defects — the brief states plainly that “negative findings carry equal weight.”,"1. Record what was tried, what worked, what failed and why.
2. Report the negative results from the casebook rather than filtering them out.
3. Trace each finding to a specific case in I2 so a reader can re-run it.",,dropped,,,shipped
K4,K,P0,Lead,The end-to-end demonstration works when it matters,"As a client, I want to watch the full journey run end-to-end on realistic data, because that demonstration is where I find out whether the platform is genuinely finished or merely feature-complete on paper.","1. One canonical demo dataset and a fixed sequence of roles are agreed and frozen ahead of time.
2. The full journey runs: project → policy → task → items → AI first pass → review → cross-validation → dispute → adjudication → release.
3. The run is rehearsed against a clean environment (A3) before it is performed.
4. A recorded fallback exists in case the live run fails.","No open defects — but our own risk register lists “demo failure despite working components” as Risk 11, with exactly these mitigations. This story is that mitigation made someone's explicit responsibility.","1. Agree and freeze the demo dataset and the sequence of roles ahead of time.
2. Rehearse the full journey: project, policy, task, items, AI first pass, review, cross-validation, dispute, adjudication, release.
3. Rehearse against a clean environment from A3, not a developer's working database.
4. Record a fallback run in case the live demonstration fails.
5. Start rehearsing from W9 rather than the week of the demo — this is Risk 11 on the team's own register.",,dropped,,,shipped
