Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Development),Custom field (Issue color),Custom field (Rank),Sprint,Custom field (Start date),Custom field (Story point estimate),Custom field (Team),Custom field (Vulnerability),Custom field (Vulnerability),Parent,Parent key,Parent summary,Status Category,Status Category Changed
Task Lifecycle: Validate task-item status before database commit,SCRUM-22,10050,Task,In Progress,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,dishank.aswal,712020:409b8b84-45d9-414c-a752-aea725e3302e,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,06/Sep/26 4:03 PM,07/Sep/26 1:19 PM,07/Sep/26 3:00 AM,,,0,"A nonsense status stored permanently makes counts, filters and progress figures lie from then on.

Story *G4* — The platform refuses states that can't exist
Issues *10*",,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,,,,,,,,,,,0|i0004n:,W6,,,,,,10039,SCRUM-11,"Project, Policy & Task Lifecycle",In Progress,07/Sep/26 3:00 AM
Task Lifecycle: Prevent cross-project task and task-item writes,SCRUM-21,10049,Task,In Progress,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,Jingwei Lin,712020:a3a41120-888a-4688-8ba9-1762665aa1c0,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,06/Sep/26 4:02 PM,07/Sep/26 4:45 PM,07/Sep/26 4:45 PM,,,0,"Access to a single low-risk project currently lets someone modify tasks and items in projects they were never given access to.

Story *G3* — My work stays inside my project
Issues *9*",,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,,,,,,,,,,,0|i0004f:,W6,,,,,,10039,SCRUM-11,"Project, Policy & Task Lifecycle",In Progress,07/Sep/26 2:59 AM
Project & Policy: Configure project review and annotation policies,SCRUM-20,10048,Task,To Do,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,,,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,06/Sep/26 4:00 PM,07/Sep/26 1:18 PM,,,,0,"A low-risk labelling job and a safety-critical judgement task should not be governed identically. The manager sets approvals required, the cross-review share, and what happens when reviewers disagree. Scope is recording the choice faithfully. Enforcement is a separate story (G2) and is not currently on the board.

Story *B2* — I can decide how carefully my project's work gets reviewed
Issues none",,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,,,,,,,,,,,0|i000fr:,,,,,,,10039,SCRUM-11,"Project, Policy & Task Lifecycle",To Do,06/Sep/26 4:00 PM
Environment issue & testing,SCRUM-19,10047,Epic,To Do,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,,,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,06/Sep/26 3:24 PM,06/Sep/26 3:24 PM,,,,0,API key、environment issue & testing,,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,,,,,,,,,,yellow,0|i0003z:,,,,,,,,,,To Do,06/Sep/26 3:24 PM
Organisation Management,SCRUM-18,10046,Epic,To Do,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,,,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,06/Sep/26 3:21 PM,06/Sep/26 3:21 PM,,,,0,"Invitation & member management, nice-to-have",,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,,,,,,,,,,dark_yellow,0|i0003r:,,,,,,,,,,To Do,06/Sep/26 3:21 PM
Dataset Release & Export,SCRUM-17,10045,Epic,To Do,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,,,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,06/Sep/26 3:20 PM,06/Sep/26 3:20 PM,,,,0,Canonical answer、release、export,,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,,,,,,,,,,dark_blue,0|i0003j:,,,,,,,,,,To Do,06/Sep/26 3:20 PM
Provenance & Audit History,SCRUM-16,10044,Epic,To Do,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,,,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,06/Sep/26 3:18 PM,06/Sep/26 3:18 PM,,,,0,AI/human/reviewer decision history,,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,,,,,,,,,,dark_green,0|i0003b:,,,,,,,,,,To Do,06/Sep/26 3:18 PM
"Review, Dispute & Adjudication",SCRUM-14,10042,Epic,To Do,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,,,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,06/Sep/26 2:21 AM,06/Sep/26 3:16 PM,,,,0,_Highest-severity defects live here — two are named in the client's own brief._,,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,,,,,,,,,orange,0|i0002v:,,,,,,,,,,To Do,06/Sep/26 2:21 AM
Annotation & Human Judgement,SCRUM-13,10041,Epic,To Do,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,,,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,06/Sep/26 2:21 AM,06/Sep/26 3:16 PM,,,,0,"_The client's stated #1 engineering gap: the connective layer between platform, queue and AI._",,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,,,,,,,,,dark_green,0|i0002n:,,,,,,,,,,To Do,06/Sep/26 2:21 AM
AI Annotation Pipeline,SCRUM-12,10040,Epic,To Do,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,,,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,06/Sep/26 2:19 AM,06/Sep/26 3:16 PM,,,,0,_Project → policy → task → items. The client's own critical path starts here._,,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,,,,,,,,,blue,0|i0002f:,,,,,,,,,,To Do,06/Sep/26 2:19 AM
"Project, Policy & Task Lifecycle",SCRUM-11,10039,Epic,To Do,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,,,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,06/Sep/26 2:13 AM,06/Sep/26 3:16 PM,,,,0,_Do these first. Nothing else is safe or demonstrable until they hold._,,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,,,,,,,,,purple,0|i00027:,,,,,,,,,,To Do,06/Sep/26 2:13 AM
Organisation management:  Invitation & acceptance,SCRUM-8,10036,Task,In Progress,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,Tim Chung,712020:2c5fbefd-b0d1-4404-a667-67013b327abe,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,05/Sep/26 10:44 PM,07/Sep/26 1:14 PM,,,,0,"No invitation can be accepted at all today, so a second person cannot be onboarded through the normal route. This blocks any multi-user demo.

Story *G5* — I can actually invite someone into my organisation
Issues *17*, *18*",,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,,,,,,,,,,0|i0001p:,W6,,,,,,10046,SCRUM-18,Organisation Management,In Progress,07/Sep/26 3:00 AM
AI-Provider: Stop generating fake annotations when the AI provider fails,SCRUM-7,10035,Task,In Progress,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,Michael,712020:caa6edab-aef4-41b3-931a-595264910708,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,05/Sep/26 10:44 PM,07/Sep/26 1:17 PM,07/Sep/26 1:13 PM,,,0,"When the AI step fails or is switched off, the platform currently invents plausible-looking bounding boxes and stores them as an ordinary draft. A fabricated suggestion mistaken for a real one is worse than no suggestion. Highest-value ticket on the AI side — it removes fabricated data from the record.

Story *C3* — I'm told when the AI failed instead of being shown a fake answer
Issues *20*",,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,,,,,,,,,,0|i0001e:,W6,,,,,,10041,SCRUM-13,Annotation & Human Judgement,In Progress,07/Sep/26 2:59 AM
AI-Provider: Integrate labeling_ai_assistnat_mvp as an AI provider,SCRUM-6,10034,Task,In Progress,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,Jingwei Lin,712020:a3a41120-888a-4688-8ba9-1762665aa1c0,Jingwei Lin,712020:a3a41120-888a-4688-8ba9-1762665aa1c0,05/Sep/26 10:43 PM,07/Sep/26 3:02 AM,09/Sep/26 7:24 PM,,,0,"he client intends to move from a mock to open-source or self-hosted models later. The workflow must not be rebuilt when that happens. OVERSIZED — see the recommended split below. Also on the critical path: SCRUM-1, 2, 3 and 7 all need the interface this creates.

Story *C1* — The AI assistant can be swapped without disrupting my work
Issues none",,Jingwei Lin,712020:a3a41120-888a-4688-8ba9-1762665aa1c0,,,,,,,,,,,0|i00013:,W6,,,,,,10041,SCRUM-13,Annotation & Human Judgement,In Progress,07/Sep/26 2:59 AM
Task queue: Display batch progress and per-item job status,SCRUM-5,10033,Task,To Do,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,,,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,05/Sep/26 10:39 PM,07/Sep/26 3:00 AM,,,,0,"With a thousand items running, the project manager needs to see how much of the batch is done, in flight or stuck. Depends on SCRUM-1 and SCRUM-2.

Story *C2* — A large batch of items gets AI-annotated reliably
Issues none",,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,,,,,,,,,,,0|i000fb:,,,,,,,10040,SCRUM-12,AI Annotation Pipeline,To Do,06/Sep/26 2:02 AM
Task queue: Retry failed items and preserve permanent failures,SCRUM-3,10002,Task,To Do,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,,,,,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,02/Sep/26 7:07 PM,07/Sep/26 3:00 AM,06/Sep/26 11:25 PM,,,0,"One failed item must not sink a batch of a thousand. Temporary failures retry; permanent ones stay visible as failed rather than disappearing. Do not copy the MVP's TaskRunner, which prints the error and drops the item from the output.

Story *C2* — A large batch of items gets AI-annotated reliably
Issues none",,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,,,,,,,,,,0|i000f3:,,,,,,,10040,SCRUM-12,AI Annotation Pipeline,To Do,06/Sep/26 2:02 AM
Task queue: Execute task annotation asynchronously through a worker,SCRUM-2,10001,Task,To Do,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,,,,,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,02/Sep/26 7:07 PM,07/Sep/26 3:00 AM,07/Sep/26 2:35 AM,,,0,"Requesting AI annotation for a task must return immediately and let the project manager keep working, instead of blocking the request while every item is processed one at a time. Depends on SCRUM-1 for the job model and SCRUM-6 for something to call.

Story *C2* — A large batch of items gets AI-annotated reliably
Issues none",,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,,,,,,,,,,0|i000ev:,,,,,,,10040,SCRUM-12,AI Annotation Pipeline,To Do,06/Sep/26 2:02 AM
Task queue: Create AI batch job and per-item job status models,SCRUM-1,10000,Task,To Do,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,,,,,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,02/Sep/26 7:07 PM,07/Sep/26 3:00 AM,07/Sep/26 2:35 AM,,,0,"The queue needs somewhere to record work before anything can run in the background. This is the data model only — no worker yet. Land it first — SCRUM-2, 3 and 5 all read and write the job row.

Story *C2* — A large batch of items gets AI-annotated reliably
Issues none",,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,,,,,,,,,,0|i000gn:,,,,,,,10040,SCRUM-12,AI Annotation Pipeline,To Do,06/Sep/26 5:30 PM
